Angela Baumgartner
Barbara Neßler
Bedrana Ribo
Bettina Zopf
Carina Reiter
Claudia Plakolm
Cornelia Ecker
Karin Doppelbauer
Olga Voglauer
Elisabeth Pfurtscheller
Astrid Rössler
Dagmar Belakowitsch
Elisabeth Götze
Ewa Ernst-Dziedzic
Gudrun Kugler
Pamela Rendi-Wagner
Stephanie Krisper
Susanne Fürst
Edith Mühlberghuber
Eva Maria Holzleitner
Eva-Maria Himmelbauer
Fiona Fiedler
Gabriela Schwarz
Gabriele Heinisch-Hosek
Heike Grebien
Henrike Brandstötter
Alexandra Tanda
Irene Neumann-Hartberger
Julia Elisabeth Herr
Katharina Kucharowits
Kira Grünberg
Gertraud Salzmann
Agnes Totter
Agnes Sirkka Prammer
Andrea Kuntzl
Beate Meinl-Reisinger
Carmen Jeitler-Cincelli
Corinna Scharzenberger
Maria Theresia Niss
Petra Oberrauner
Sonja Hammerschmid
Elisabeth Scheucher-Pichler
Eva Blimlinger
Faika El-Nagashi
Johanna Jachs
Karin Greiner
Maria Smodics-Neumann
Martina Künsberg Sarre
Meri Disoski
Michaela Steinacker
Nina Tomaselli
Romana Deckenbacher
Ruth Becher
Selma Yildirim
Sibylle Hamann
Verena Nussbaum
Maria Großbauer
Martina Diesner-Wais
Nurten Yılmaz
Petra Bayr
Petra Steger
Petra Vorderwinkler
Petra Wimmer
Pia Philippa Strache
Rebecca Kirchbaumer
Rosa Ecker
Sabine Schatz
Sigrid Maurer
Tanja Graf
Alexander Melchior
Alois Schroll
Alois Stöger, diplômé
Andreas Kollross
Andreas Kühberger
Andreas Minnich
Andreas Ottenschläger
August Wöginger
Christian Hafenecker
Christian Lausch
Christian Ries
Christoph Stark
Christoph Zarits
David Stögmüller
Dietmar Keck
Gerhard Deimek
Nikolaus Berlakovich
Douglas Hoyos-Trauttmansdorff
Christian Stocker
Christoph Matznetter
Harald Troch
Helmut Brandstätter
Johannes Margreiter
Josef Smolle
Nikolaus Scherak
Reinhold Lopatka
Werner Saxinger
Erwin Angerer
Franz Hörl
Gabriel Obernosterer
Hans Stefan Hintner
Herbert Kickl
Hermann Brückl
Hermann Weratschnig
Johann Weber
Josef Hechenberger
Klaus Lindinger
Volker Reifenberger
Manfred Hofinger
Markus Vogl
Martin Litschauer
Reinhold Einwallner
Joachim Schnabel
Johann Singer
Johannes Schmuckenschlager
Josef Muchitsch
Josef Schellhorn
Kai Jan Krainer
Karl Mahrer
Karl Schmidhofer
Karlheinz Kopf
Klaus Köchl
Laurenz Pöttinger
Lukas Brandweiner
Lukas Hammer
Axel Kassegger
Hubert Fuchs
Andreas Hanger
Christian Drobits
Christian Ragger
Jakob Schwarz
Martin Graf
Rudolf Taschner
Ernst Gödl
Felix Eypeltauer
Friedrich Ofenauer
Georg Bürstmayr
Gerald Hauser
Gerald Loacker
Gerhard Kaniak
Hannes Amesbauer
Harald Stefan
Jörg Leichtfried
Klaus Fürlinger
Markus Koza
Martin Engelberg
Michael Hammer
Peter Weidinger
Philipp Schrangl
Thomas Drozda
Wolfgang Gerstl
Maximilian Köllner
Maximilian Lercher
Michael Bernhard
Michael Schnedlitz
Michael Seemayer
Michel Reimon
Nico Marchetti
Norbert Sieber
Peter Haubner
Peter Schmiedlechner
Peter Wurm
Philip Kucher
Rainer Wimmer
Ralph Schallmeiner
Robert Laimer
Rudolf Silvan
Süleyman Zorba
Walter Rauch
Wolfgang Zanger
Yannick Shetty
Sebastian Kurz
Martin Kocher
Heinz Faßmann
Gernot Blümel
Karl Nehammer
Werner Kogler
Wolfgang Mückstein
Rudolf Anschober
Alexander Schallenberg
Christine Aschbacher
Margarete Schramböck
Karoline Edtstadler
Susanne Raab
Alma Zadić
Leonore Gewessler
Klaudia Tanner
Elisabeth Köstinger
Claudia Gamon
Evelyn Regner
Lukas Mandl
Andrea Mayer
Bernhard Achitz
