	0	1	2	3	4	5	6	7	8	9	10	11	12	13	opinion_integer	comment_clean
2462	+	False	159960	2021_01_13	76	ÖVP	Abgeordneter Laurenz Pöttinger (ÖVP)	True	Dank der Wissenschaft sind wir in der Lage, jetzt zu impfen.	False	False	True	False	False	2	Dank der Wissenschaft sind wir in der Lage, jetzt zu impfen.
3639	-	True	124712	2020_11_17	62	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Es zeugt auch nicht von Verantwortung, bereits gemachte Zu- und Aussagen zur Finanzierung des Gesundheitswesens einfach ständig zu negieren und sich hier herauszustellen und immer herumzurechnen, obwohl es bereits entsprechende Zu- und Aussagen der Bundesminister zu diesem Thema gibt. Bis 6.12. werden die Zahlen hoffentlich so weit herunten sein, dass wir aus diesem Lockdown wieder aussteigen können. Die Zahlen werden dann hoffentlich auch so weit herunten sein, dass wir keinen dritten Lockdown mehr brauchen.	False	True	False	False	False	0	Es zeugt auch nicht von Verantwortung, bereits gemachte Zu- und Aussagen zur Finanzierung des Gesundheitswesens einfach ständig zu negieren und sich hier herauszustellen und immer herumzurechnen, obwohl es bereits entsprechende Zu- und Aussagen der Bundesminister zu diesem Thema gibt. Bis 6.12. werden die Zahlen hoffentlich so weit herunten sein, dass wir aus diesem Lockdown wieder aussteigen können. Die Zahlen werden dann hoffentlich auch so weit herunten sein, dass wir keinen dritten Lockdown mehr brauchen.
3243	+	False	48737	2020_05_13	30	NEOS	Abgeordneter Dr. Nikolaus Scherak, MA (NEOS)	False	Die SPÖ hat ihren Parteivorstand – ich glaube, so heißt es – mit unfassbar viel Abstand gemeinsam gemacht, und sie haben das, glaube ich, auch selber zustande gebracht, dass sie diesen Abstand halten.	False	False	False	False	True	2	Die SPÖ hat ihren Parteivorstand – ich glaube, so heißt es – mit unfassbar viel Abstand gemeinsam gemacht, und sie haben das, glaube ich, auch selber zustande gebracht, dass sie diesen Abstand halten.
1304	o	True	196114	2021_04_21	97	ÖVP	Abgeordneter Karl Mahrer (ÖVP)	True	Wir sehen das an bestimmten Fahnen, an bestimmten Symbolen, an bestimmten Aussagen. Wissen Sie, ich bin sehr betroffen gewesen, als ich gesehen habe, dass Kundgebungsteilnehmer unter Hochhalten von Judensternen mit den Begriffen Impfgegner und Coronaleugner auch durch jüdische Viertel der Leopoldstadt gegangen sind. Das hat mich fassungslos gemacht.	False	False	True	False	False	1	Wir sehen das an bestimmten Fahnen, an bestimmten Symbolen, an bestimmten Aussagen. Wissen Sie, ich bin sehr betroffen gewesen, als ich gesehen habe, dass Kundgebungsteilnehmer unter Hochhalten von Judensternen mit den Begriffen Impfgegner und Coronaleugner auch durch jüdische Viertel der Leopoldstadt gegangen sind. Das hat mich fassungslos gemacht.
1354	+	False	193781	2021_04_21	97	Grüne	Bundesminister für Soziales, Gesundheit, Pflege und Konsumentenschutz Dr. Wolfgang Mückstein	True	Die Lösung ist für mich: Impfen, Testen, Testen, Testen und die Basismaßnahmen einhalten.	False	False	True	True	False	2	Die Lösung ist für mich: Impfen, Testen, Testen, Testen und die Basismaßnahmen einhalten.
739	+	True	190271	2021_03_26	93	SPÖ	Abgeordneter Mag. Jörg Leichtfried (SPÖ)	False	Erst am 9. Februar 2021 erkennt offensichtlich jemand aus dieser Regierung – also ein paar Monate später, als es schon zu spät ist –, dass zu wenig Geld beschlossen wurde, dass diese 200 Millionen Euro bei Weitem nicht ausgereicht haben und dass es ein Fehler war, die Beamten mit 200 Millionen Euro Pouvoir nach Brüssel zum Einkaufen zu schicken – diese haben ja nichts anderes tun können, es wäre ja Amtsmissbrauch gewesen. Herausgekommen ist am Ende, dass mit diesen 200 Millionen Euro die Impfstoffe, die für uns aufgrund unseres Bevölkerungsschlüssels zu bestellen möglich gewesen wären, nicht haben bestellt werden können. Das ist das Problem, das hier aufgetaucht ist.	False	False	True	False	False	2	Erst am 9. Februar 2021 erkennt offensichtlich jemand aus dieser Regierung – also ein paar Monate später, als es schon zu spät ist –, dass zu wenig Geld beschlossen wurde, dass diese 200 Millionen Euro bei Weitem nicht ausgereicht haben und dass es ein Fehler war, die Beamten mit 200 Millionen Euro Pouvoir nach Brüssel zum Einkaufen zu schicken – diese haben ja nichts anderes tun können, es wäre ja Amtsmissbrauch gewesen. Herausgekommen ist am Ende, dass mit diesen 200 Millionen Euro die Impfstoffe, die für uns aufgrund unseres Bevölkerungsschlüssels zu bestellen möglich gewesen wären, nicht haben bestellt werden können. Das ist das Problem, das hier aufgetaucht ist.
1856	+	False	174668	2021_02_24	85	ÖVP	Abgeordnete Mag. Elisabeth Scheucher-Pichler (ÖVP)	True	Erfreulich ist auch, Herr Bundesminister, dass morgen im Hauptausschuss – davon gehe ich aus – eine Lockerung für die Besuche in den Pflegeheimen und in den Altenheimen möglich sein wird, speziell wenn Besucher getestet und geimpft sind.	False	False	True	True	False	2	Erfreulich ist auch, Herr Bundesminister, dass morgen im Hauptausschuss – davon gehe ich aus – eine Lockerung für die Besuche in den Pflegeheimen und in den Altenheimen möglich sein wird, speziell wenn Besucher getestet und geimpft sind.
5048	+	True	156560	2020_12_21	75	SPÖ	Abgeordneter Philip Kucher (SPÖ)	False	Was hat dich aufgehalten, im Sommer die Schulen sicherer zu machen? Was hat dich aufgehalten, gewisse Berufsgruppen jetzt schon proaktiv zu testen? Wir haben da so viele Vorschläge gehört.	False	False	False	True	False	2	Was hat dich aufgehalten, im Sommer die Schulen sicherer zu machen? Was hat dich aufgehalten, gewisse Berufsgruppen jetzt schon proaktiv zu testen? Wir haben da so viele Vorschläge gehört.
2911	-	True	200113	2021_05_03	101	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Das heißt, bei Ihnen kann man auch von einer Gesundheit genesen, meine sehr geehrten Damen und Herren, so absurd ist das Ganze in der Zwischenzeit! Dann gibt es noch die Impfung, den Goldstandard, sozusagen den Höhepunkt, die elitärste Ausformung des grünen Gnadenpasses. Auch diesbezüglich sind Sie aber evidenzbefreit, weil Ihnen die Hersteller dieser Impfstoffe selbst nicht sagen können, wie lange die Impfwirkung anhält, wie umfassend diese Impfwirkung ist und ob Sie tatsächlich niemanden anderen anstecken können.	False	False	True	False	False	0	Das heißt, bei Ihnen kann man auch von einer Gesundheit genesen, meine sehr geehrten Damen und Herren, so absurd ist das Ganze in der Zwischenzeit! Dann gibt es noch die Impfung, den Goldstandard, sozusagen den Höhepunkt, die elitärste Ausformung des grünen Gnadenpasses. Auch diesbezüglich sind Sie aber evidenzbefreit, weil Ihnen die Hersteller dieser Impfstoffe selbst nicht sagen können, wie lange die Impfwirkung anhält, wie umfassend diese Impfwirkung ist und ob Sie tatsächlich niemanden anderen anstecken können.
3703	o	True	75475	2020_06_17	36	FPÖ	Abgeordneter Mag. Hannes Amesbauer, BA (FPÖ)	False	Geschätzte Damen und Herren! Ich möchte jetzt einiges zurechtrücken, was hier seitens der ÖVP wieder einmal verzapft wurde – zu Beginn der Debatte von Klubobmann Wöginger, aber auch Kollege Pöttinger hat das angeführt und hat den angeblichen Zickzackkurs der FPÖ kritisiert, denn wir wären ja die Ersten gewesen, die den totalen Lockdown Österreichs gefordert hätten. Jetzt habe ich mir, Frau Kollegin Maurer , gerade zum ersten Mal diese Presseaussendung von damals, vom 13. März, in Ruhe und vollständig durchgelesen.	False	True	False	False	False	1	Geschätzte Damen und Herren! Ich möchte jetzt einiges zurechtrücken, was hier seitens der ÖVP wieder einmal verzapft wurde – zu Beginn der Debatte von Klubobmann Wöginger, aber auch Kollege Pöttinger hat das angeführt und hat den angeblichen Zickzackkurs der FPÖ kritisiert, denn wir wären ja die Ersten gewesen, die den totalen Lockdown Österreichs gefordert hätten. Jetzt habe ich mir, Frau Kollegin Maurer , gerade zum ersten Mal diese Presseaussendung von damals, vom 13. März, in Ruhe und vollständig durchgelesen.
