x	False	21075	2020_01_22	10	Grüne	Bundesminister für Arbeit, Soziales, Gesundheit und Konsumentenschutz Rudolf Anschober	True	Spätestens bis Jahresende möchte ich die Bund-Land-Gemeinden-Zielsteuerungs­gruppe starten, denn was wir nämlich drittens brauchen, ist, dass es nicht nur ein Konzept aus einem Guss, sondern auch eine Finanzierung aus einem Guss gibt.	False	False	False	True	False
+	False	172479	2021_02_24	85	ÖVP	Abgeordnete MMMag. Gertraud Salzmann (ÖVP)	True	Die Tourismusleistungen sind derartig gut, dass wir von Österreich aus gesehen europaweit führend sind, unter anderem auch bei den Tests, zum Beispiel bei den Tests in den Schulen.	False	False	False	True	False
-	False	174259	2021_02_24	85	ÖVP	Abgeordnete Gabriela Schwarz (ÖVP)	True	Da ist nämlich schon die Rede davon, ob sich jemand von euch überlegt hat, was es für andere bedeutet, Masken zu tragen: für Ärztinnen und Ärzte, die ewig im OP stehen und die selbstverständlich Masken tragen, für Pflegepersonal, das Masken trägt, für Apotheker, lieber Gerhard Kaniak – ich habe dich ersucht, in meiner Gegenwart eine FFP2-Maske zu tragen, du hast gesagt, vulnerablen Gruppen gegenüber machst du das, ich habe nicht aufs Hirn tätowiert, dass ich eine Risikopatientin bin; also so viel dazu –; diese Menschen tragen Masken.	True	False	False	False	False
+	True	174159	2021_02_24	85	Grüne	Abgeordneter Ralph Schallmeiner (Grüne)	True	Okay, zum einen gibt es den klassischen Antrag der FPÖ – in diesem Fall, dass man eben eine durchaus notwendige und anerkannte Maßnahme wieder abschaffen möchte, nämlich das Maskentragen. Überall dort, wo wir eng zusammenkommen, sollen die Masken fallen, nach diesem Prinzip – obwohl eigentlich in der Zwischenzeit schon genügend Evidenzen da sind, dass die Maske durchaus sinnvoll ist, dass sie uns schützt, dass wir damit andere schützen, dass es nebst anderen Maßnahmen auch damit zu einer Eindämmung der Pandemie kommen kann. Deswegen werden wir diesen Antrag natürlich ablehnen beziehungsweise haben wir ihn auch im Gesundheitsausschuss abgelehnt.	True	False	False	False	False
x	True	68725	2020_05_29	34	Grüne	Abgeordneter Hermann Weratschnig, MBA MSc (Grüne)	True	Bei diesen und den bereits davor definierten Unterstützungen möchten wir anknüpfen und Bewusstsein dafür schaffen, dass es in der Kunst- und Kulturszene in Zukunft Veränderungen braucht: Was mache ich als MusikerIn ohne Auftritte, als freie Schauspielerin ohne Ensemble, als Kunstmaler oder Kunstmalerin ohne Aufträge? Was ist mit Beleuchtung, Maske und Produktion, wo viel auf Honorarnotenbasis läuft und es keine Möglichkeit gibt, auf Kurzarbeit zurück­zu­greifen? Was ist mit jenen, die kein fixes Ensemble haben, in einer Theaterszene, wo es einen Kollektivvertrag gibt?	True	False	False	False	False
-	True	63480	2020_05_26	32	FPÖ	Abgeordneter Peter Wurm (FPÖ)	False	Ich hoffe, es folgen Ihnen möglichst bald alle Ihre Regierungskollegen. Sie sind ja ohne Maske ein wesentlich angenehmerer Anblick als mit Maske. – Das darf ich noch anfügen.	True	False	False	False	False
+	False	196099	2021_04_21	97	ÖVP	Bundesminister für Inneres Karl Nehammer, MSc	True	– Am besten beweisen die Demonstrationen, dass der, der eine rot-weiß-rote Fahne trägt, noch lange kein Patriot ist , denn Patriotismus ist die Liebe zu den Seinen, und die Liebe zu den Seinen heißt, die Schutzmaßnahmen zu befolgen, auf den Abstand zu achten, die Schutzmaske zu tragen.	True	False	False	False	True
o	True	172737	2021_02_24	85	ÖVP	Bundesminister für Bildung, Wissenschaft und Forschung Dr. Heinz Faßmann	True	Geschätzte Mitglieder des Nationalrates! Ich danke Ihnen, Herr Abgeordneter Brückl, für die Thematisierung der Anfragebeantwortung zum Thema Rechtsgrundlage der Maskenpflicht, auf die ich gleich zu sprechen kommen werde. Ich denke, uns verbindet über alle Parteigrenzen hinweg die Sorge um eine funktionierende Schule in der Pandemie.	True	False	False	False	False
-	True	48238	2020_05_13	30	FPÖ	Abgeordneter Herbert Kickl (FPÖ)	False	Und dann gibt es noch die Versuche, die Medienlandschaft schlicht und ergreifend mit einem Schlag einzukaufen, um damit die Kritiker mundtot zu machen ; und das ist die autoritäre Durchsetzung der geistigen Führungskader von ÖVP und Grünen. Ja, ja, weil Sie gerade wieder versuchen, hinter Ihrer Maske etwas herauszustammeln, Frau Kollegin Maurer: Sie haben ja den Vogel abgeschossen. Sie dürfen sich beson­ders betroffen fühlen, denn herzugehen und einen Einspruch gegen einen weiteren unausgereiften, schädlichen und gefährlichen Gesetzeswurf mit dem Namen Covid im Bundesrat – also derjenigen Institution, die der Verfassungsgesetzgeber genau dafür vorgesehen hat – als einen Akt der zynischen Sabotage hinzustellen, die Arbeit des Bundesrates auf diese Art und Weise zu diskreditieren, das ist ja wohl das Allerletzte, Frau Kollegin Maurer.	True	False	False	False	False
+	False	172746	2021_02_24	85	ÖVP	Bundesminister für Bildung, Wissenschaft und Forschung Dr. Heinz Faßmann	True	Ich habe auch immer auf unser dreifaches Sicherheitsnetz hingewiesen: Ausdünnung, Maske und Testen.	True	False	False	True	False
-	True	105403	2020_09_23	51	SPÖ	Abgeordnete Gabriele Heinisch-Hosek (SPÖ)	False	Auf vielen Arbeitsplätzen gibt es keine Verpflichtung eine Maske zu tragen. Allerdings: Es gibt eine große Anzahl von ArbeitnehmerInnen, die acht Stunden und länger eine Maske tragen müssen – Handelsangestellte, KellnerInnen, Pflegepersonal, Personal im öffentlichen Verkehr usw., da in diesen Bereichen durch technische oder organisatorische Maßnahmen oftmals kein ausreichender Schutz zur Minimierung des Infektionsrisikos getroffen werden kann. Wer den Mund-Nasen-Schutz den ganzen Arbeitstag tragen muss, der fühlt sich nicht wohl und kann gesundheitlich Schaden nehmen.	True	False	False	False	False
-	False	140947	2020_11_20	64	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	Die Schulen sind ja auch schon in den vergangenen Monaten mit Geboten und Verboten überfrachtet worden: Abstand halten, Maske außerhalb der Klasse tragen, lüften – es gab noch nie so viele verkühlte Kinder wie jetzt aufgrund des vielen Lüftens  –, die Quarantäne immer als dunkle Wolke – soll alles sein, vielleicht bringt es etwas!	True	False	False	False	True
+	True	160327	2021_01_13	76	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Sie haben am 1. Dezember Masken für alle über 65-Jährigen versprochen. Während dieser Sitzung habe ich wieder ein Mail von einer 82-jährigen Frau bekommen, die mir schreibt: Ich habe noch immer keine Masken, ich fühle mich von dieser Regierung nicht beschützt. – Ich glaube, das müssen Sie machen, Sie müssen die Menschen beschützen.	True	False	False	False	False
-	False	142162	2020_11_20	64	Grüne	Abgeordnete Mag. Meri Disoski (Grüne)	True	Es ist natür­lich nicht in Ordnung, Frauen können, sollen und dürfen nicht gezwungen werden – ganz im Gegenteil –, bei der Geburt ihres Kindes eine Maske zu tragen.	True	False	False	False	False
o	True	166418	2021_01_20	79	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Ich will die Qualität von dem, was Sie da verschickt haben, gar nicht überprüft wissen. Sie haben den Leuten nicht gesagt: Wenn eine FFP2-Maske feucht wird, dann ist sie hin. Das Zeug arbeitet mit elektrostatischer Ladung, nur dann funktioniert es, und wenn das Ding einmal feucht war, dann ist es kaputt.	True	False	False	False	False
+	False	89511	2020_07_07	43	ÖVP	Abgeordnete Claudia Plakolm (ÖVP)	True	Abstandhalten und auch das Tragen von Masken bleiben wich­tig im Kampf gegen das Coronavirus.	True	False	False	False	True
-	False	60640	2020_05_26	32	FPÖ	Abgeordneter Erwin Angerer (FPÖ)	False	Wir sagen immer, die Risiko­gruppe ist zu schützen, sind aber gegen diese Stoffmasken.	True	False	False	False	False
-	False	102154	2020_09_14	49	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Wissen Sie, Herr Bundeskanzler, genau diese Ihre Politik führt zu dieser Mentalität: „I zag di au“, wenn du keine Maske trägst, wenn du deine Hände nicht desinfizierst und wenn du am Parkbankerl sitzt.	True	False	False	False	False
-	True	172701	2021_02_24	85	FPÖ	Abgeordneter Hermann Brückl, MA (FPÖ)	False	Alleine in Oberösterreich sind 1 521 Kinder, österreichweit, wie gesagt, Hunderte Schulklassen betroffen. Ich darf aber zurück zur Anfrage kommen, Herr Bundesminister, zur Maskenpflicht: Haben Sie sich den Unterricht in unseren Oberstufen, in der Sekundarstufe II, schon einmal angesehen, Herr Bundesminister? Der Unterricht erfolgt an zwei Tagen in der Woche mit FFP2-Maske, und da sitzen diese Jugendlichen – unsere Kinder – in den Klassenzimmern, apathisch, reaktionslos, es findet kein lebhafter Unterricht statt.	True	False	False	False	False
-	True	109174	2020_09_23	51	SPÖ	Abgeordneter Maximilian Köllner, MA (SPÖ)	False	Das Resultat ist, dass im Bereich des Sports nach der letzten Ankündigung beziehungs­weise Verordnung wieder die gleiche Verunsicherung herrscht wie im Frühjahr. Die Be­völkerung stellt sich Fragen wie: Wann und wo brauche ich denn die Maske? Wie viele Leute dürfen am Yogakurs teilnehmen?	True	False	False	False	False
+	True	151275	2020_12_11	71	ÖVP	Abgeordnete Dipl.-Kffr. (FH) Elisabeth Pfurtscheller (ÖVP)	True	Das ist einfach ein wichtiger Beitrag, um die Ansteckungsgefahr in dieser Al­tersgruppe etwas einzudämmen. Wenn wir jetzt schon über das Maskentragen reden, dann komme ich natürlich gleich auch zu dem Thema Tests und zu dem Thema Coronaapp. Ich möchte hier an dieser Stelle noch einmal Werbung für die Coronaapp machen.	True	False	False	True	False
x	True	145966	2020_12_10	69	Grüne	Abgeordneter Lukas Hammer (Grüne)	True	Er wollte einfach nicht verstehen, warum wir kein Fördergeld für den Kauf neuer Diesel­autos ausgeben. Herr Kollege, damit husten Sie dieser Generation, die von der Klimakrise betroffen ist, ohne Maske direkt ins Gesicht. Gerade weil wir allen jungen Menschen in Österreich derzeit so viel abverlangen, haben wir aus meiner Sicht die verdammte Pflicht, die Fehler aus der Vergangenheit nicht zu wiederholen.	True	False	False	False	False
x	True	53461	2020_05_26	32	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	Mag. Gerhard Kaniak, Erwin Angerer, Dr. Dagmar Belakowitsch, Peter Wurm und weiterer Abgeordneter betreffend Schluss mit der allgemeinen COVID-19-Maskenpflicht in Österreich eingebracht in der 32. Sitzung des Nationalrates, XXVII.	True	False	False	False	False
-	False	145732	2020_12_10	69	Grüne	Abgeordnete Barbara Neßler (Grüne)	True	Da wird kein Abstandhalten, keine Impfung und kein Masken­schutz helfen.	True	False	True	False	True
-	False	145234	2020_11_26	67	FPÖ	Abgeordneter MMMag. Dr. Axel Kassegger (FPÖ)	False	Schauen wir uns die Beschaffungsprozesse an: Um Millionen Euro werden Masken angeschafft, die im Übrigen teilweise undicht sind.	True	False	False	False	False
+	False	200871	2021_05_03	101	Grüne	Abgeordnete Dr. Elisabeth Götze (Grüne)	True	Das heißt, wenn wir uns an diese Sicherheitskonzepte halten, wenn wir Masken tragen und Abstände halten, sind wir sicher.	True	False	False	False	False
+	False	131969	2020_11_17	62	ÖVP	Abgeordneter Dr. Werner Saxinger, MSc (ÖVP)	True	Und noch etwas: Ein trotziges Verweigern manch sinnvoller Einzelmaßnahme – Stichwort Maske – ist nicht nur kein Vorbild, sondern wirklich kontraproduktiv und auch unverantwortlich.	True	False	False	False	False
+	False	34603	2020_04_03	22	FPÖ	Abgeordnete Dr. Susanne Fürst (FPÖ)	False	– Sehr frühzeitig medizinische Ausrüstung für Krankenhäuser, aber auch Masken, nicht nur für das Personal, sondern auch für die Bürger; sehr frühzeitig Massentests inklusive Schnell­test-Drive-ins mit anschließender Isolation der Kranken – und nicht umgekehrt.	True	False	False	True	False
+	False	42397	2020_04_28	27	ÖVP	Abgeordnete Mag. Romana Deckenbacher (ÖVP)	True	Einige von uns werden zugeben, dass sie vor nicht allzu langer Zeit Touristen aus fernöstlichen Ländern, die eine Mund-Nasen-Maske trugen, als ängstlich belächelten, und dachten möglicherweise nicht daran, dass die Personen nicht aus Angst vor einer Ansteckung durch uns die Maske trugen, nein, sie trugen die Maske aufgrund einer eigenen Erkrankung, aus Respekt vor allen Men­schen, die in Österreich leben.	True	False	False	False	False
+	False	174368	2021_02_24	85	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	Gerade Mitte Februar aber hat die CDC in den Vereinigten Staaten festgestellt, dass korrekt getragene Masken – wenn beide Partner sie haben – im Experimentellen eine Reduktion von etwa 95 Prozent bringen.	True	False	False	False	False
