sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	x	-	-	-	29137	2020_03_15	16	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Das heißt, diese Planbarkeit ist jetzt gar nicht machbar – für Sie nicht –, nur die Unternehmer kommen mit dieser Unplanbarkeit gar nicht zurecht, weil dieser Lockdown ja jetzt nur für eine Woche bestimmt ist.
-	x	-	x	x	-	-	31054	2020_03_20	19	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	Wie und wann schaffen wir es, aus diesem Lockdown wieder herauszukommen, ohne die Gesundheit der Menschen in Österreich oder auch europaweit aufs Spiel zu setzen?
-	#	#+	-	x	-	-	32973	2020_04_03	22	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Kickl hat am 13. März von einem Lockdown gesprochen – also alles zudrehen, nichts geht mehr in diesem Land.
+	x	+	x	x	+	+	34265	2020_04_03	22	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Ich möchte gleich zu Beginn eines klarstellen, damit es keine Missverständnisse gibt: Ja, der Lockdown war richtig.
+	x	x	x	o	o	-	34269	2020_04_03	22	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Lassen Sie mich aber mit dem Gemeinsamen beginnen: Was das Ziel betrifft, sind wir uns ja alle einig: Es geht um nichts Geringeres als das Einpendeln unserer Volks­wirtschaft auf ein Level, wie es vor der Krise war, oder, wenn Sie so wollen, wenn man jetzt den Lockdown schrittweise lockert, dass dann das Wirtschaftssystem eigentlich genauso aussieht, wie es vor der Krise war.
+	x	x	x	+s	o	o	34709	2020_04_03	22	NEOS	Abgeordnete Mag. Martina Künsberg Sarre (NEOS)	False	Regelmäßige begleitende Datenerhe­bun­gen in dieser Phase des Lockdowns, in der Lehrer_innen, Schüler_innen und Eltern auf digitales Unterrichten und Lernen absolut angewiesen sind, können einen wesent­lichen Beitrag für eine effiziente Digitalisierung des Bildungssystems in der Zukunft leisten.
-	#	x	x	#-	o	o	36347	2020_04_22	24	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Sebastian Kurz und Gesundheitsminister Anschober haben es versäumt, die fünf Wochen seit dem Lockdown zu nützen, um Daten zu gewinnen, auf Basis derer wir arbeiten können.
-	#	#+	x	x	o	o	37020	2020_04_22	24	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	Ich erinnere mich daran, wie Sie vorgeschlagen haben – zu einem Zeitpunkt, als wir noch gar nichts gewusst haben –, ganz radikale Maßnahmen zu setzen: Ihnen war der Lockdown nicht scharf genug.
o	x	x	+	x	+	+	37580	2020_04_22	24	Grüne	Abgeordneter Mag. Markus Koza (Grüne)	True	Ich finde es schon sehr interessant, wie sich der Lockdown auch ökonomisch auswirkt – wie wir ja alle wissen, hat der verordnete Lockdown, der passiert ist, in Schweden nicht in diesem Ausmaß stattgefunden, ist dort aber trotzdem sehr stark von der Bevölkerung angenommen worden –, denn da sind die Unter­schiede interessanterweise gar nicht so frappant!
o	x	x	o	x	+	+	37699	2020_04_22	24	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	Der Lockdown in unserem Land war eine gesundheitspolitische Präventivmaßnahme, eine Maßnahme, die das ganze Land betroffen hat und die es in diesem Ausmaß, in dieser Dimension noch nie gegeben hat.
