sentence sentiment	Spricht über eine fremde Meinung (innerhalb des Parlaments). Speaks about somebody else’s opinion (of speakers of the parliament or political parties. Does not include opinions of external sources, e.g. experts)	Spricht sich explizit für/gegen einen Lockdown aus	Spricht sich explizit positiv/negativ über die Auswirkungen eines Lockdowns aus	Spricht sich positiv/negativ über die Gestaltung/Umsetzung/Organisation eines Lockdowns aus (wenn es um Vorschläge geht ist das mit einem s gekennzeichnet (suggestion))	Subjective Judgement of Overall Opinion (for/against) Lockdown	Subjective Overall Opinion for/against Lockdown (aggressive judgement)							
-	x	x	x	-	-	-	29137	2020_03_15	16	NEOS	Abgeordneter Josef Schellhorn (NEOS)	False	Planbarkeit machbar     Unternehmer Unplanbarkeit zurecht Lockdown Woche bestimmt 
-	x	-	x	x	-	-	31054	2020_03_20	19	NEOS	Abgeordnete Mag. Beate Meinl-Reisinger, MES (NEOS)	False	schaffen Lockdown herauszukommen Gesundheit Menschen Österreich europaweit aufs Spiel setzen 
-	#	#+	-	x	-	-	32973	2020_04_03	22	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Kickl 13.   März Lockdown gesprochen   zudrehen Land 
+	x	+	x	x	+	+	34265	2020_04_03	22	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Beginn klarstellen Missverständnisse Lockdown 
+	x	x	x	o	o	-	34269	2020_04_03	22	NEOS	Abgeordnete Dipl.-Ing. Karin Doppelbauer (NEOS)	False	Lassen Gemeinsamen beginnen Ziel betrifft einig Geringeres Einpendeln Volks­wirtschaft Level Krise Lockdown schrittweise lockert Wirtschaftssystem eigentlich genauso aussieht Krise 
+	x	x	x	+s	o	o	34709	2020_04_03	22	NEOS	Abgeordnete Mag. Martina Künsberg Sarre (NEOS)	False	Regelmäßige begleitende Datenerhe­bun­gen Phase Lockdowns Lehrer_innen Schüler_innen Eltern digitales Unterrichten Lernen absolut angewiesen wesent­lichen Beitrag effiziente Digitalisierung Bildungssystems Zukunft leisten 
-	#	x	x	#-	o	o	36347	2020_04_22	24	NEOS	Abgeordneter Mag. Gerald Loacker (NEOS)	False	Sebastian   Gesundheitsminister Anschober versäumt Wochen Lockdown nützen Daten gewinnen Basis derer arbeiten 
-	#	#+	x	x	o	o	37020	2020_04_22	24	Grüne	Abgeordnete Sigrid Maurer, BA (Grüne)	True	erinnere vorgeschlagen   Zeitpunkt gewusst   radikale Maßnahmen setzen Lockdown scharf 
o	x	x	+	x	+	+	37580	2020_04_22	24	Grüne	Abgeordneter Mag. Markus Koza (Grüne)	True	finde interessant Lockdown ökonomisch auswirkt   wissen verordnete Lockdown passiert Schweden Ausmaß stattgefunden stark Bevölkerung angenommen   Unter­schiede interessanterweise frappant 
o	x	x	o	x	+	+	37699	2020_04_22	24	ÖVP	Abgeordneter Dr. Josef Smolle (ÖVP)	True	Lockdown unserem Land gesundheitspolitische Präventivmaßnahme Maßnahme Land betroffen Ausmaß Dimension gegeben 
+	x	x	x	+s	o	o	37880	2020_04_22	24	NEOS	Abgeordneter Dr. Helmut Brandstätter (NEOS)	False	Regelmäßige begleitende Datenerhebungen Phase Lockdowns Lehrpersonal Studierende digitales Unterrichten Lernen absolut ange­wiesen wesentlichen Beitrag effiziente Digitalisierung Lehre Hochschulen Zukunft leisten 
+	#	x	#o	x	o	+	38138	2020_04_22	24	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	anmerken FPÖ ständig behauptet   Wirtschaftskammer geleistet Kollege Loacker   gebe Auswirkungen Coronakrise Maßnahmen gesetzt   wichtig erwähnen   13.   März Pressekonferenz Klubobmann Kickl Frau Kollegin Belakowitsch gegeben Lockdown gefordert 
-	#	#+	x	x	o	+	38139	2020_04_22	24	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	Lockdown Österreich gefor­dert Salamitaktik aufhört Regierung solle schneller handeln müsse österreichischen Bevölkerung reinen Wein einschenken Wahrheit sprechen 
o	x	x	x	x	o	o	39180	2020_04_22	24	Grüne	Abgeordnete Mag. Nina Tomaselli (Grüne)	True	16.3.2020 befindet Österreich Lock-Down 
-	#	#+	#-	x	o	-	42515	2020_04_28	27	ÖVP	Abgeordneter August Wöginger (ÖVP)	True	13.   März setzt Kickl sagst Lockdown nieder 
o	##	##+	x	x	o	-	42564	2020_04_28	27	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	  berichtige tatsächlich   Abgeordneter Wöginger Rede behauptet Pressekonferenz gemeinsam Klubobmann Kickl behauptet totalen Lockdown   Punkt 
-	x	+	x	x	+	+	42567	2020_04_28	27	FPÖ	Abgeordnete Dr. Dagmar Belakowitsch (FPÖ)	False	totalen Lockdown Flughafen Wien absolute Grenzschließung 
